variable_code,variable_question
S001,
S002,
S003,
COUNTRY_ALPHA,
COW_NUM,
COW_ALPHA,
S006,
S007,
S008,
S010,
S011A,
S011B,
S012,
S013,
S013B,
S016,
S017,
S018,
S019,
S020,
S021,
S024,
S025,
A001,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Family"
A002,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Friends"
A003,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Leisure time"
A004,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Politics"
A005,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Work"
A006,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all  Religion"
A007,"For each of the following aspects, indicate how important it is in your life. Would you say it is:"
A008,"Taking all things together, would you say you are:"
A009,"All in all, how would you describe your state of health these days? Would you say it is..."
A010,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A011,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A012,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A013,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A014,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A015,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A016,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A017,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A018,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A019,"We are interested in the way people are feeling these days. During the past few weeks, did you ever feel..."
A025,"With which of these two statements do you tend to agree?   A. Regardless of what the qualities and faults of one's parents are, one must always love and respect them.  B. One does not have the duty to respect and love parents who have not earned it by their behaviour and attitudes."
A026,Which of the following statements best describes your views about parents' responsibilities to their children?   A. Parents' duty is to do their best for their children even at the expense of their own well-being  B Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children
A027,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.  Good manners"
A029,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.  Independence"
